GENE_NAME,GENE_SYMBOL,FLYBASE_PRIMARY,spot
CG6054,Su(fu),FBgn0005355,3053
CG8228,CG8228,FBgn0037711,3054
CG15105,CG15105,FBgn0034412,3055
CG17964,pan,FBgn0019664,3056
CG12879,CG12879,FBgn0039540,3057
CG4891,CG4891,FBgn0028520,3058
CG9543,CG9543,FBgn0027496,3059
CG11212,Ptr,FBgn0033068,3060
CG9804,CG9804,FBgn0037251,3061
CG10390,Taf6L,FBgn0037337,3062
CG9806,CG9806,FBgn0030222,3063
CG8174,SRPK,FBgn0026370,3064
CG3344,CG3344,FBgn0035154,3065
CG10117,ttv,FBgn0020245,3066
CG5167,CG5167,FBgn0038038,3067
CG9829,poly,FBgn0014374,3068
CG33187,CG33187,FBgn0053187,3069
CG10414,CG10414,FBgn0032691,3070
CG31531,CG31531,FBgn0051531,3071
CG9850,CG9850,FBgn0034903,3072
CG3416,Mov34,FBgn0002787,3073
CG9856,PTP-ER,FBgn0016641,3074
CG10151,CG10151,FBgn0033960,3075
CG10564,Ac78C,FBgn0024150,3076
CG3762,Vha68-2,FBgn0020367,3077
CG3762,Vha68-2,FBgn0020367,3078
CG3134,ord,FBgn0003009,3079
CG17282,CG17282,FBgn0038857,3080
CG8782,Oat,FBgn0022774,3081
CG15710,CG15710,FBgn0034120,3082
CG6383,crb,FBgn0000368,3083
CG5742,CG5742,FBgn0034304,3084
CG7466,CG7466,FBgn0031981,3085
CG7456,CG7456,FBgn0032258,3086
CG7952,gt,FBgn0001150,3087
CG5107,CG5107,FBgn0039342,3088
CG15603,CG15603,FBgn0030712,3089
CG7464,CS-2,FBgn0029091,3090
CG12108,Ppt1,FBgn0030057,3091
CG7948,spn-A,FBgn0003479,3092
CG7811,b,FBgn0000153,3093
CG11629,CG11629,FBgn0032965,3094
CG18801,Ku80,FBgn0041627,3095
CG12448,CG12448,FBgn0028857,3096
CG5148,CG5148,FBgn0038478,3097
CG4900,Irp-1A,FBgn0024958,3098
CG7840,CG7840,FBgn0032014,3099
CG4908,CG4908,FBgn0032195,3100
CG31043,gukh,FBgn0026239,3101
CG32953,CG32953,FBgn0052953,3102
CG8328,HLHm&dgr;,FBgn0002734,3103
CG1885,CG1885,FBgn0030066,3104
CG1888,CG1888,FBgn0033421,3105
CG17337,CG17337,FBgn0033035,3106
CG1925,mus205,FBgn0002891,3107
CG1898,HBS1,FBgn0042712,3108
CG14034,CG14034,FBgn0031691,3109
CG13870,CG13870,FBgn0034506,3110
CG31291,CG31291,FBgn0051291,3111
CG7919,fan,FBgn0028379,3112
CG8823,Lip3,FBgn0023495,3113
CG8825,Tdp1,FBgn0031506,3114
CG30069,CG30069,FBgn0050069,3115
CG4966,CG4966,FBgn0034261,3116
CG8426,l(2)NC136,FBgn0033029,3117
CG17295,CG17295,FBgn0032034,3118
CG13929,metl,FBgn0035247,3119
null,Amplicon Hits Multiple Gene Regions,,3120
CG5792,CG5792,FBgn0032455,3121
CG30073,Obp50b,FBgn0050073,3122
CG30116,CG30116,FBgn0028496,3123
CG31493,CG31493,FBgn0051493,3124
CG8493,CG8493,FBgn0033716,3125
CG1106,Gel,FBgn0010225,3126
CG12147,CG12147,FBgn0037325,3127
CG5276,CG5276,FBgn0037900,3128
null,Amplicon Hits Multiple Gene Regions,,3129
CG5300,Klp31E,FBgn0032243,3130
CG6864,Mst89B,FBgn0020399,3131
CG30089,CG30089,FBgn0050089,3132
CG15096,CG15096,FBgn0034394,3133
CG11709,PGRP-SA,FBgn0030310,3134
CG14780,CG14780,FBgn0025383,3135
CG5945,CG5945,FBgn0032494,3136
CG32920,CG32920,FBgn0052920,3137
CG18585,CG18585,FBgn0031929,3138
CG12656,CG12656,FBgn0031087,3139
CG14806,CG14806,FBgn0029594,3140
CG4239,CG4239,FBgn0030745,3141
CG14914,CG14914,FBgn0032334,3142
CG6202,Surf4,FBgn0019925,3143
CG16790,CG16790,FBgn0037713,3144
CG8355,sli,FBgn0003425,3145
CG12977,CG12977,FBgn0037052,3146
CG9334,Spn3,FBgn0028986,3147
CG11582,CG11582,FBgn0035525,3148
CG1909,CG1909,FBgn0039911,3149
CG30263,CG30263,FBgn0050263,3150
CG6364,CG6364,FBgn0039179,3151
CG33130,l(2)k07433,FBgn0022085,3152
CG7738,CG7738,FBgn0033596,3153
CG13833,CG13833,FBgn0039040,3154
CG15705,CG15705,FBgn0034104,3155
CG8816,CG8816,FBgn0033754,3156
CG3814,CG3814,FBgn0025692,3157
null,-,,3158
CG12841,Tsp42Ek,FBgn0033133,3159
null,-,,3160
CG8186,Vha36,FBgn0022097,3161
CG10603,mRpL13,FBgn0032720,3162
CG3395,RpS9,FBgn0010408,3163
CG5768,CG5768,FBgn0039198,3164
CG6707,CG6707,FBgn0036058,3165
CG2249,CG2249,FBgn0040773,3166
CG1986,CG1986,FBgn0030162,3167
CG6262,CG6262,FBgn0034121,3168
CG1385,Def,FBgn0010385,3169
CG14340,CG14340,FBgn0031302,3170
CG6739,CG6739,FBgn0031926,3171
CG8620,CG8620,FBgn0040837,3172
CG12832,Tsp42Eq,FBgn0033138,3173
CG11875,CG11875,FBgn0039301,3174
CG5110,CG5110,FBgn0032642,3175
CG2004,CG2004,FBgn0030060,3176
CG3379,His4r,FBgn0013981,3177
CG31149,CG31149,FBgn0051149,3178
CG13647,CG13647,FBgn0039256,3179
CG32226,CG32226,FBgn0052226,3180
CG9548,CG9548,FBgn0031822,3181
null,No Amplicon Gene Matches,,3182
null,-,,3183
CG12085,pUf68,FBgn0028577,3184
null,No Amplicon Gene Matches,,3185
CG14086,CG14086,FBgn0036860,3186
CG5326,CG5326,FBgn0038983,3187
CG17549,CG17549,FBgn0032774,3188
CG9368,CG9368,FBgn0036890,3189
CG6164,CG6164,FBgn0039154,3190
CG12676,ed,FBgn0000547,3191
CG16996,CG16996,FBgn0032412,3192
CG32171,Lmpt,FBgn0036672,3193
CG33174,CG33174,FBgn0053174,3194
CG12688,CG12688,FBgn0029707,3195
CG32381,unc-13-4A,FBgn0035756,3196
CG13636,CG13636,FBgn0039232,3197
null,No Amplicon Gene Matches,,3198
CG8719,Odc2,FBgn0013308,3199
CG7781,CG7781,FBgn0032021,3200
CG1221,miple,FBgn0027111,3201
CG12975,CG12975,FBgn0037061,3202
CG32356,ImpE1,FBgn0001253,3203
CG12209,CG12209,FBgn0033498,3204
CG13419,burs,FBgn0038901,3205
CG3661,RpL23,FBgn0010078,3206
null,No Amplicon Gene Matches,,3207
CG17059,CG17059,FBgn0040754,3208
CG31062,side,FBgn0016061,3209
CG9065,CG9065,FBgn0030610,3210
CG11984,CG11984,FBgn0037655,3211
CG11753,CG11753,FBgn0037603,3212
CG17828,mod(r),FBgn0016038,3213
CG13984,CG13984,FBgn0031796,3214
null,No Amplicon Gene Matches,,3215
CG7231,CG7231,FBgn0031968,3216
CG8799,l(2)03659,FBgn0010549,3217
CG15867,CG15867,FBgn0040961,3218
CG15386,CG15386,FBgn0040715,3219
CG17191,CG17191,FBgn0039473,3220
null,No Amplicon Gene Matches,,3221
CG31477,CG31477,FBgn0051477,3222
Barcode Element,,,3223
CG14447,Grip,FBgn0029830,3224
CG13935,CG13935,FBgn0035280,3225
CG13432,l(2)05510,FBgn0028622,3226
CG32474,dys,FBgn0039411,3227
CG33227,CG33227,FBgn0050405,3228
CG10598,CG10598,FBgn0003057,3229
CG32542,CG32542,FBgn0052542,3230
Barcode Element,,,3231
CG9169,FucTD,FBgn0035217,3232
CG5111,CG5111,FBgn0039343,3233
CG3192,CG3192,FBgn0029888,3234
CG9522,CG9522,FBgn0030587,3235
CG3953,l(3)IX-14,FBgn0002478,3236
CG4528,snf,FBgn0003449,3237
CG14509,CG14509,FBgn0039647,3238
CG13193,CG13193,FBgn0033650,3239
CG14372,CG14372,FBgn0038156,3240
null,spotting_soln,null,3241
CG4027,Act5C,FBgn0000042,3242
null,spotting_soln,null,3243
null,Ambion_Spike_5,null,3244
null,Ambion_Spike_6,null,3245
Scer\FLP1,Scer\FLP1,FBgn0014444,3246
T:Ecol\lacZ,T:Ecol\lacZ,FBgn0015311,3247
null,Arab_Spike_1,null,3248
CG14620,CG14620,FBgn0031185,3249
CG13545,CG13545,FBgn0034828,3250
CG5850,CG5850,FBgn0032172,3251
CG8262,CG8262,FBgn0027513,3252
CG2678,CG2678,FBgn0014931,3253
CG13576,CG13576,FBgn0034994,3254
CG33263,CG33263,FBgn0053263,3255
CG5321,CG5321,FBgn0030575,3256
CG5599,CG5599,FBgn0030612,3257
CG7125,CG7125,FBgn0038603,3258
CG12129,CG12129,FBgn0033475,3259
CG5451,CG5451,FBgn0038666,3260
CG1554,RpII215,FBgn0003277,3261
CG4290,CG4290,FBgn0025625,3262
CG30281,CG30281,FBgn0050281,3263
CG3780,Spx,FBgn0015818,3264
CG2328,eve,FBgn0000606,3265
CG7168,CG7168,FBgn0038586,3266
CG9021,CG9021,FBgn0031747,3267
CG14785,CG14785,FBgn0027795,3268
CG3823,CG3823,FBgn0029863,3269
CG2736,CG2736,FBgn0035090,3270
CG3935,al,FBgn0000061,3271
CG14739,CG14739,FBgn0037987,3272
CG9973,CG9973,FBgn0035378,3273
CG3907,CG3907,FBgn0034958,3274
CG15528,CG15528,FBgn0039742,3275
CG30387,CG30387,FBgn0050387,3276
CG9428,ZIP1,FBgn0033096,3277
CG3050,Cyp6d5,FBgn0038194,3278
CG14949,CG14949,FBgn0035358,3279
CG11134,CG11134,FBgn0030518,3280
CG7262,CG7262,FBgn0038274,3281
CG4190,Hsp67Bc,FBgn0001229,3282
CG7434,RpL22,FBgn0015288,3283
CG7977,RpL23A,FBgn0026372,3284
CG10338,CG10338,FBgn0032700,3285
CG3203,RpL17,FBgn0029897,3286
CG15817,CG15817,FBgn0028476,3287
CG2835,G-s&agr;60A,FBgn0001123,3288
CG7902,bap,FBgn0004862,3289
CG7354,mRpS26,FBgn0036774,3290
CG3731,CG3731,FBgn0038271,3291
CG10365,CG10365,FBgn0039109,3292
CG1520,WASp,FBgn0024273,3293
CG17723,CG17723,FBgn0035432,3294
CG1532,CG1532,FBgn0031143,3295
CG17244,CG17244,FBgn0039031,3296
CG8110,syd,FBgn0024187,3297
CG31781,CG31781,FBgn0051781,3298
CG6069,CG6069,FBgn0039418,3299
CG11654,Ahcy13,FBgn0014455,3300
CG1391,sol,FBgn0003464,3301
CG6340,CG6340,FBgn0030648,3302
CG13594,CG13594,FBgn0035041,3303
CG17205,CG17205,FBgn0038794,3304
CG14239,CG14239,FBgn0039424,3305
CG11727,CG11727,FBgn0030299,3306
CG13098,mRpL51,FBgn0032053,3307
null,Amplicon Hits Multiple Gene Regions,,3308
CG13216,CG13216,FBgn0033591,3309
CG7199,Hr78,FBgn0015239,3310
CG11387,ct,FBgn0004198,3311
CG4370,Irk2,FBgn0039081,3312
CG18208,CG18208,FBgn0038653,3313
CG13698,CG13698,FBgn0036773,3314
CG6197,CG6197,FBgn0033859,3315
CG13214,CG13214,FBgn0033603,3316
CG7907,CG7907,FBgn0038887,3317
CG9437,CG9437,FBgn0034599,3318
CG6218,CG6218,FBgn0038321,3319
CG9448,CG9448,FBgn0037734,3320
CG1121,&agr;-Est8,FBgn0015576,3321
CG9883,CG9883,FBgn0031435,3322
CG15095,l(2)08717,FBgn0010651,3323
CG6284,Sirt6,FBgn0037802,3324
CG12172,Spn43Aa,FBgn0024294,3325
CG12898,CG12898,FBgn0033516,3326
CG7874,CG7874,FBgn0030999,3327
CG4751,CG4751,FBgn0032348,3328
CG17801,CG17801,FBgn0038550,3329
CG32302,CG32302,FBgn0052302,3330
CG11352,jim,FBgn0027339,3331
CG18247,shark,FBgn0015295,3332
CG15825,CG15825,FBgn0032773,3333
CG6321,CG6321,FBgn0036117,3334
CG33298,CG33298,FBgn0032120,3335
CG1137,CG1137,FBgn0037454,3336
CG17603,Taf1,FBgn0010355,3337
CG1806,CG1806,FBgn0030360,3338
CG4074,CG4074,FBgn0037017,3339
CG4565,CG4565,FBgn0037841,3340
CG18105,ETH,FBgn0028738,3341
CG31151,CG31151,FBgn0051151,3342
CG3327,E23,FBgn0020445,3343
CG1287,CG1287,FBgn0037506,3344
CG6944,Lam,FBgn0002525,3345
CG18375,CG18375,FBgn0034606,3346
CG4376,Actn,FBgn0000667,3347
CG3945,Rad9,FBgn0025807,3348
CG6701,CG6701,FBgn0033889,3349
CG4076,Nufip,FBgn0036812,3350
CG5067,cic,FBgn0028386,3351
CG3839,l(1)sc,FBgn0002561,3352
CG6178,CG6178,FBgn0039156,3353
CG14339,CG14339,FBgn0031301,3354
CG14351,CG14351,FBgn0031349,3355
CG12182,CG12182,FBgn0028504,3356
CG5700,prc,FBgn0028573,3357
CG6388,CG6388,FBgn0032430,3358
CG12206,CG12206,FBgn0029662,3359
CG5800,CG5800,FBgn0030855,3360
CG9707,Acox57D-p,FBgn0034628,3361
CG31818,CG31818,FBgn0051818,3362
CG8866,CG8866,FBgn0037679,3363
CG3327,E23,FBgn0020445,3364
CG14921,CG14921,FBgn0032345,3365
CG10002,fkh,FBgn0000659,3366
CG5965,woc,FBgn0010328,3367
CG9390,AcCoAS,FBgn0012034,3368
CG33322,CG33322,FBgn0053322,3369
CG18130,CG18130,FBgn0030359,3370
CG11061,GM130,FBgn0034697,3371
CG9460,CG9460,FBgn0033115,3372
CG9748,bel,FBgn0000171,3373
CG10043,rtGEF,FBgn0015803,3374
CG13463,CG13463,FBgn0036470,3375
CG16972,CG16972,FBgn0032481,3376
CG13160,CG13160,FBgn0033720,3377
CG10335,Pbgs,FBgn0036271,3378
CG10060,G-i&agr;65A,FBgn0001104,3379
CG7337,CG7337,FBgn0031374,3380
CG5406,sif,FBgn0019652,3381
CG9777,CG9777,FBgn0030764,3382
CG15534,CG15534,FBgn0039769,3383
CG12443,ths,FBgn0033652,3384
CG12076,YT521-B,FBgn0027616,3385
CG4772,Ugt86Dh,FBgn0040252,3386
CG4497,CG4497,FBgn0031895,3387
CG7653,CG7653,FBgn0028935,3388
CG4237,Gap69C,FBgn0020655,3389
CG10262,CG10262,FBgn0032813,3390
CG11937,amn,FBgn0000076,3391
CG7367,CG7367,FBgn0031976,3392
CG4793,CG4793,FBgn0028514,3393
CG8571,smid,FBgn0016983,3394
CG4799,Pen,FBgn0011823,3395
CG8062,CG8062,FBgn0028469,3396
CG4536,CG4536,FBgn0029904,3397
CG8327,SpdS,FBgn0037723,3398
CG11280,trn,FBgn0010452,3399
CG1793,Arc70,FBgn0039923,3400
CG5053,CG5053,FBgn0039352,3401
CG11752,CG11752,FBgn0030292,3402
CG11006,CG11006,FBgn0027534,3403
CG4835,CG4835,FBgn0035607,3404
CG11309,CG11309,FBgn0037070,3405
CG7436,Nmt,FBgn0020392,3406
CG32223,CG32223,FBgn0036946,3407
CG7449,hbs,FBgn0029082,3408
CG11920,CG11920,FBgn0039274,3409
CG32986,CG32986,FBgn0052986,3410
CG8648,Fen1,FBgn0025832,3411
CG32767,CG32767,FBgn0052767,3412
CG7759,CG7759,FBgn0033633,3413
CG11878,CG11878,FBgn0039310,3414
CG8822,PpD6,FBgn0005779,3415
CG11339,CG11339,FBgn0039841,3416
CG32793,CG32793,FBgn0052793,3417
null,Amplicon Hits Multiple Gene Regions,,3418
CG1233,CG1233,FBgn0035137,3419
CG3178,Rrp1,FBgn0004584,3420
CG3183,geminin,FBgn0033081,3421
CG8896,18w,FBgn0004364,3422
CG5392,CG5392,FBgn0036463,3423
CG13178,CG13178,FBgn0033685,3424
CG13733,CG13733,FBgn0036729,3425
null,-,,3426
CG8886,l(2)05714,FBgn0010607,3427
CG12496,CG12496,FBgn0040385,3428
CG31635,CG31635,FBgn0051635,3429
CG8289,CG8289,FBgn0030854,3430
null,-,,3431
null,-,,3432
CG12218,mei-P26,FBgn0026206,3433
CG4003,pont,FBgn0040078,3434
CG17145,CG17145,FBgn0036953,3435
CG10354,CG10354,FBgn0031868,3436
CG3238,CG3238,FBgn0031540,3437
CG17379,CG17379,FBgn0039076,3438
CG9072,CG9072,FBgn0030614,3439
CG11489,CG11489,FBgn0025702,3440
CG9628,CG9628,FBgn0036433,3441
null,-,,3442
null,-,,3443
CG10480,Bj1,FBgn0002638,3444
CG3769,CG3769,FBgn0032119,3445
CG3929,dx,FBgn0000524,3446
CG3458,Top3&bgr;,FBgn0026015,3447
CG32043,CG32043,FBgn0052043,3448
CG1112,&agr;-Est7,FBgn0015575,3449
CG17054,Cap-G,FBgn0033795,3450
CG1389,tor,FBgn0003733,3451
CG18296,axo,FBgn0026729,3452
CG13956,kat80,FBgn0040207,3453
CG18518,CG18518,FBgn0028900,3454
CG14528,CG14528,FBgn0039611,3455
CG13441,Gr57a,FBgn0041240,3456
CG15179,CG15179,FBgn0037462,3457
CG18331,CG18331,FBgn0036181,3458
CG2903,Hrs,FBgn0031450,3459
CG8932,CG8932,FBgn0039390,3460
CG5854,CG5854,FBgn0039130,3461
null,-,,3462
CG17525,GstE4,FBgn0063496,3463
CG32245,CG32245,FBgn0052245,3464
CG17218,CG17218,FBgn0032421,3465
CG16986,CG16986,FBgn0035356,3466
null,Amplicon Hits Multiple Gene Regions,,3467
CG1753,CG1753,FBgn0031148,3468
CG11462,CG11462,FBgn0029815,3469
CG32333,CG32333,FBgn0052333,3470
CG14334,beat-IIa,FBgn0038498,3471
CG32755,CG32755,FBgn0052755,3472
CG12190,CG12190,FBgn0034763,3473
CG32742,l(1)G0148,FBgn0028360,3474
null,-,,3475
CG12099,CG12099,FBgn0035232,3476
CG6431,CG6431,FBgn0032289,3477
CG15582,Obp83cd,FBgn0046878,3478
CG13701,skl,FBgn0036786,3479
CG3302,Crz,FBgn0013767,3480
CG4702,CG4702,FBgn0037992,3481
CG3714,CG3714,FBgn0031589,3482
CG1249,CG1249,FBgn0037434,3483
CG2016,CG2016,FBgn0037289,3484
CG5532,CG5532,FBgn0034902,3485
CG17652,CG17652,FBgn0031361,3486
CG8517,CG8517,FBgn0034472,3487
null,Amplicon Hits Multiple Gene Regions,,3488
CG12843,Tsp42Ei,FBgn0033130,3489
CG33147,CG33147,FBgn0053147,3490
CG11236,CG11236,FBgn0031860,3491
CG17029,CG17029,FBgn0036551,3492
CG15585,Osi1,FBgn0037406,3493
null,No Amplicon Gene Matches,,3494
CG17510,CG17510,FBgn0039969,3495
CG11399,CG11399,FBgn0037021,3496
CG9773,CG9773,FBgn0037609,3497
CG10357,CG10357,FBgn0035453,3498
CG2216,Fer1HCH,FBgn0015222,3499
CG5014,Vap-33-1,FBgn0029687,3500
CG1786,Cyp318a1,FBgn0030369,3501
CG12069,CG12069,FBgn0039796,3502
CG15917,CG15917,FBgn0034199,3503
CG13803,DmsR-2,FBgn0035329,3504
CG6801,l(3)j2D3,FBgn0011335,3505
CG6680,CG6680,FBgn0036968,3506
CG13373,CG13373,FBgn0029522,3507
CG13393,CG13393,FBgn0032035,3508
null,Amplicon Hits Multiple Gene Regions,,3509
CG14523,CG14523,FBgn0039612,3510
CG8502,CG8502,FBgn0033725,3511
CG2109,mRpL44,FBgn0037330,3512
CG3566,CG3566,FBgn0029854,3513
CG14210,CG14210,FBgn0031040,3514
CG14244,CG14244,FBgn0040607,3515
CG14249,beat-VII,FBgn0039447,3516
CG14773,CG14773,FBgn0040895,3517
CG15757,CG15757,FBgn0030494,3518
CG14162,dpr6,FBgn0040823,3519
CG6141,RpL9,FBgn0015756,3520
CG15590,Osi5,FBgn0037413,3521
CG16704,CG16704,FBgn0031558,3522
CG9847,Fkbp13,FBgn0010470,3523
CG4450,CG4450,FBgn0032113,3524
CG7607,CG7607,FBgn0036145,3525
CG2968,l(1)G0230,FBgn0028342,3526
CG10919,CG10919,FBgn0037514,3527
CG33152,hbn,FBgn0008636,3528
CG11824,CG11824,FBgn0033360,3529
CG8129,CG8129,FBgn0037684,3530
CG4863,RpL3,FBgn0020910,3531
null,No Amplicon Gene Matches,,3532
CG12780,CG12780,FBgn0033301,3533
CG13828,CG13828,FBgn0040591,3534
CG13232,BBS4,FBgn0033578,3535
null,-,,3536
CG12224,CG12224,FBgn0037974,3537
CG15357,CG15357,FBgn0040719,3538
CG15375,CG15375,FBgn0029694,3539
CG18641,CG18641,FBgn0031426,3540
CG18356,CG18356,FBgn0033771,3541
CG13499,CG13499,FBgn0034680,3542
CG32600,dpr8,FBgn0052600,3543
CG2239,jdp,FBgn0027654,3544
CG8063,yellow-f2,FBgn0038105,3545
CG17149,CG17149,FBgn0036955,3546
CG6767,CG6767,FBgn0036030,3547
CG4851,CG4851,FBgn0032358,3548
null,No Amplicon Gene Matches,,3549
CG31072,CG31072,FBgn0051072,3550
CG13426,CG13426,FBgn0034510,3551
CG2081,CG2081,FBgn0030262,3552
CG32560,CG32560,FBgn0052560,3553
CG3394,CG3394,FBgn0034999,3554
CG15635,CG15635,FBgn0031617,3555
null,-,,3556
CG12008,kst,FBgn0004167,3557
CG4133,CG4133,FBgn0031257,3558
CG17739,CG17739,FBgn0033710,3559
CG17198,CG17198,FBgn0039366,3560
Barcode Element,,,3561
CG14854,CG14854,FBgn0038238,3562
CG13036,CG13036,FBgn0036626,3563
CG15476,CG15476,FBgn0041000,3564
null,spotting_soln,null,3565
CG4027,Act5C,FBgn0000042,3566
null,spotting_soln,null,3567
null,Ambion_Spike_7,null,3568
null,Ambion_Spike_8,null,3569
null,no_primer,null,3570
T:Scer\GAL4,T:Scer\GAL4,FBgn0026021,3571
null,Arab_Spike_28,null,3572
CG33232,CG33232,FBgn0035347,3573
CG6662,CG6662,FBgn0035907,3574
CG14637,abs,FBgn0015331,3575
CG12179,CG12179,FBgn0025388,3576
CG17687,CG17687,FBgn0036348,3577
CG12590,CG12590,FBgn0037294,3578
CG9279,CG9279,FBgn0036882,3579
CG31150,CG31150,FBgn0051150,3580
CG14734,Tk,FBgn0037976,3581
CG14193,CG14193,FBgn0030994,3582
CG14179,CG14179,FBgn0035994,3583
CG32721,CG32721,FBgn0027553,3584
CG12531,CG12531,FBgn0031064,3585
CG15209,CG15209,FBgn0030237,3586
CG14264,CG14264,FBgn0039512,3587
CG8181,CG8181,FBgn0033361,3588
CG5643,wdb,FBgn0027492,3589
CG6145,CG6145,FBgn0033853,3590
CG15454,CG15454,FBgn0031122,3591
CG6235,tws,FBgn0004889,3592
null,Amplicon Hits Multiple Gene Regions,,3593
CG6163,CG6163,FBgn0036155,3594
CG12323,Pros&bgr;5,FBgn0029134,3595
CG33103,Ppn,FBgn0003137,3596
CG1529,CG1529,FBgn0031144,3597
CG10374,Lsd-1,FBgn0039114,3598
CG4393,CG4393,FBgn0039075,3599
CG9747,CG9747,FBgn0039754,3600
CG8028,CG8028,FBgn0031010,3601
CG5989,CG5989,FBgn0017429,3602
CG5043,CG5043,FBgn0032636,3603
CG2595,RacGAP84C,FBgn0045843,3604
CG11715,Cyp4g15,FBgn0030304,3605
CG1071,E2f2,FBgn0024371,3606
CG11202,org-1,FBgn0021767,3607
CG15099,CG15099,FBgn0034400,3608
CG8274,Mtor,FBgn0013756,3609
CG2977,inx7,FBgn0027106,3610
CG31302,CG31302,FBgn0051302,3611
CG9540,Ag5r2,FBgn0020508,3612
CG9836,CG9836,FBgn0037637,3613
null,-,,3614
CG4817,Ssrp,FBgn0010278,3615
CG2865,CG2865,FBgn0023526,3616
CG33462,CG33462,FBgn0053462,3617
CG4806,CG4806,FBgn0035048,3618
CG8245,CG8245,FBgn0033031,3619
CG5028,CG5028,FBgn0039358,3620
CG7408,CG7408,FBgn0036765,3621
CG9296,CG9296,FBgn0032059,3622
CG8142,CG8142,FBgn0030871,3623
CG12526,Or67a,FBgn0036009,3624
CG10748,CG10748,FBgn0036327,3625
CG4311,Hmgs,FBgn0010611,3626
CG17724,CG17724,FBgn0033802,3627
CG4341,CG4341,FBgn0028481,3628
CG14837,CG14837,FBgn0035797,3629
CG4658,CG4658,FBgn0032170,3630
CG5933,CG5933,FBgn0039139,3631
CG4935,CG4935,FBgn0028897,3632
CG9412,rin,FBgn0015778,3633
CG1895,Cyp28c1,FBgn0030339,3634
CG10488,eyg,FBgn0000625,3635
CG17367,Lnk,FBgn0028717,3636
CG10631,CG10631,FBgn0032817,3637
CG15446,CG15446,FBgn0031155,3638
CG14964,CG14964,FBgn0035410,3639
CG9737,CG9737,FBgn0039758,3640
CG16974,CG16974,FBgn0032479,3641
CG9476,&agr;Tub85E,FBgn0003886,3642
CG2604,CG2604,FBgn0037298,3643
CG12165,Incenp,FBgn0033156,3644
CG1264,lab,FBgn0002522,3645
CG3696,kis,FBgn0001309,3646
CG14048,mRpL14,FBgn0040389,3647
CG17323,CG17323,FBgn0032713,3648
CG2662,CG2662,FBgn0024993,3649
CG18555,CG18555,FBgn0031510,3650
CG8678,CG8678,FBgn0032935,3651
CG14625,CG14625,FBgn0040358,3652
CG9606,Rrp45,FBgn0030789,3653
CG7582,CG7582,FBgn0039681,3654
CG14156,Or67c,FBgn0036078,3655
CG3273,sced,FBgn0013732,3656
CG8963,CG8963,FBgn0034181,3657
CG12176,ligase4,FBgn0030506,3658
CG8843,sec5,FBgn0031537,3659
CG3271,CG3271,FBgn0033088,3660
CG12288,CG12288,FBgn0032620,3661
CG33175,spri,FBgn0030216,3662
CG33075,CG33075,FBgn0053075,3663
CG1922,onecut,FBgn0028996,3664
CG18076,shot,FBgn0013733,3665
CG17186,CG17186,FBgn0038741,3666
CG30372,CG30372,FBgn0050372,3667
CG9347,ninaB,FBgn0002937,3668
CG15930,CG15930,FBgn0029754,3669
CG15326,CG15326,FBgn0029965,3670
CG1954,Pkc98E,FBgn0003093,3671
CG6144,CG6144,FBgn0032259,3672
CG8318,Nf1,FBgn0015269,3673
CG6058,Ald,FBgn0000064,3674
CG6156,CG6156,FBgn0038328,3675
CG9376,CG9376,FBgn0036893,3676
CG4684,nwk,FBgn0035966,3677
CG4415,CG4415,FBgn0031296,3678
CG18660,Nckx30C,FBgn0028704,3679
CG8556,Rac2,FBgn0014011,3680
CG7260,byn,FBgn0011723,3681
CG9131,kisir,FBgn0029161,3682
CG13920,CG13920,FBgn0025712,3683
CG4426,ast,FBgn0015905,3684
CG11726,CG11726,FBgn0036156,3685
CG11154,ATPsyn-&bgr;,FBgn0010217,3686
CG7015,CG7015,FBgn0035895,3687
CG7574,bip1,FBgn0026263,3688
CG4697,CSN1a,FBgn0028838,3689
CG31232,CG31232,FBgn0051232,3690
CG4446,CG4446,FBgn0035979,3691
CG3708,CG3708,FBgn0040345,3692
null,-,,3693
CG4720,Pk92B,FBgn0014006,3694
CG32443,Pc,FBgn0003042,3695
CG5832,Hmx,FBgn0014858,3696
CG1082,&agr;-Est4,FBgn0015572,3697
CG8601,mus312,FBgn0002909,3698
CG11203,CG11203,FBgn0030249,3699
CG9580,Sdic:CG9580,FBgn0067861,3700
CG12860,CG12860,FBgn0033954,3701
CG12868,CG12868,FBgn0033945,3702
CG3517,CG3517,FBgn0038706,3703
CG11906,CG11906,FBgn0034425,3704
CG11208,CG11208,FBgn0034488,3705
CG2655,HLH3B,FBgn0011276,3706
CG5000,msps,FBgn0027948,3707
CG2647,per,FBgn0003068,3708
CG3287,CG3287,FBgn0028954,3709
CG12698,CG12698,FBgn0030721,3710
CG13778,Mnn1,FBgn0031885,3711
CG15609,CG15609,FBgn0034180,3712
CG10118,ple,FBgn0005626,3713
CG11924,Cf2,FBgn0000286,3714
CG9826,CG9826,FBgn0034784,3715
CG2939,slp2,FBgn0004567,3716
CG5119,pAbp,FBgn0003031,3717
CG3095,hfw,FBgn0001189,3718
CG15645,CG15645,FBgn0030657,3719
CG3320,Rab1,FBgn0016700,3720
CG6327,CG6327,FBgn0036115,3721
CG10428,CG10428,FBgn0032724,3722
CG15674,CG15674,FBgn0034642,3723
CG15678,CG15678,FBgn0034647,3724
