gene,fbgn,gene_transcript_start,fc3.count,fc4.count,fc5.count,fc6.count,p,q
CG14614,FBgn0031186,CG14614-PA-33,3,7,18,18,0.00133711050279159,0.0177414226182579
cv,FBgn0000394,cv-PA-117,15,16,6,6,0.00133711050279159,0.0177414226182579
ras,FBgn0003204,ras-PA-597,4,6,16,20,0.00133711050279159,0.0177414226182579
CG10948,FBgn0036317,CG10948-PC-2227,8,7,2,0,0.00134285675196615,0.0177459015568622
CG11190,FBgn0030035,CG11190-PA-619,6,9,1,1,0.00134285675196615,0.0177459015568622
CG11417,FBgn0024364,CG11417-PA-693,1,1,9,8,0.00134285675196615,0.0177459015568622
CG14299,FBgn0038651,CG14299-PC-6180,1,1,8,9,0.00134285675196615,0.0177459015568622
CG1646,FBgn0039600,CG1646-PA-2565,124,185,321,267,0.00134055993528802,0.0177459015568622
CG17807,FBgn0034748,CG17807-PA-871,18,16,39,40,0.00134083560334323,0.0177459015568622
CG42569,FBgn0260771,CG42569-PA-1425,1,1,7,10,0.00134285675196615,0.0177459015568622
CG5199,FBgn0036994,CG5199-PA-943,1,1,7,10,0.00134285675196615,0.0177459015568622
CG6672,FBgn0037875,CG6672-PA-675,1,1,8,9,0.00134285675196615,0.0177459015568622
Hydr2,FBgn0014906,Hydr2-PA-1066,0,2,8,9,0.00134285675196615,0.0177459015568622
Ilk,FBgn0028427,Ilk-PA-1194,2,0,9,8,0.00134285675196615,0.0177459015568622
nmo,FBgn0011817,nmo-PA-269,1,1,8,9,0.00134285675196615,0.0177459015568622
noc,FBgn0005771,noc-PA-1419,23,36,59,59,0.00134261339086309,0.0177459015568622
RASSF8,FBgn0261986,RASSF8-PA-1807,19,15,38,41,0.00134083560334323,0.0177459015568622
Rbcn-3B,FBgn0023510,Rbcn-3B-PA-3892,1,1,7,10,0.00134285675196615,0.0177459015568622
RhoGAP5A,FBgn0029778,RhoGAP5A-PA-1407,46,55,36,36,0.00134261339086309,0.0177459015568622
Spn27A,FBgn0028990,Spn27A-PA-230,1,1,9,8,0.00134285675196615,0.0177459015568622
thr,FBgn0003701,thr-PB-3381,0,2,8,9,0.00134285675196615,0.0177459015568622
Aats-gly,FBgn0027088,Aats-gly-PA-1537,2053,2045,2184,2131,0.00135147095765158,0.0178557431357912
CG1662,FBgn0030481,CG1662-PA-342,29,36,67,61,0.00135501653058464,0.0178985833735781
alpha-Spec,FBgn0250789,alpha-Spec-PA-6525,12,18,35,36,0.00135745138403294,0.0179267360997802
CG7987,FBgn0038244,CG7987-PA-3832,106,102,170,166,0.0013581617903489,0.0179321079844456
l(3)76BDr,FBgn0262517,l(3)76BDr-PA-4884,54,50,92,95,0.00136084834403581,0.0179635631430637
CG3880,FBgn0035057,CG3880-PA-708,28,18,13,10,0.00136991558271999,0.0180792121752575
CG13760,FBgn0040375,CG13760-PC-645,3,3,12,16,0.00137779919460019,0.0181589075730189
CG7430,FBgn0036762,CG7430-PA-1395,11,13,3,5,0.00137779919460019,0.0181589075730189
cher,FBgn0014141,cher-PA-4695,3,3,12,16,0.00137779919460019,0.0181589075730189
CycH,FBgn0022936,CycH-PA-883,11,13,5,3,0.00137779919460019,0.0181589075730189
krz,FBgn0040206,krz-PA-390,3,3,13,15,0.00137779919460019,0.0181589075730189
Vps35,FBgn0034708,Vps35-PA-1603,3,3,13,15,0.00137779919460019,0.0181589075730189
eIF-3p40,FBgn0022023,eIF-3p40-PA-864,399,382,549,566,0.00137860941652525,0.0181655321109211
Spc105R,FBgn0037025,Spc105R-PA-3381,4,10,21,24,0.00138101415932143,0.0181891021902776
Src42A,FBgn0004603,Src42A-PA-111,11,3,19,26,0.00138101415932143,0.0181891021902776
CG33144,FBgn0053144,CG33144-PA-2952,17,20,38,45,0.00138496231582501,0.018237035551392
Ent1,FBgn0031250,Ent1-PA-1333,202,213,198,187,0.00139984414188057,0.0184288888388726
CG10959,FBgn0030010,CG10959-PA-1086,40,50,24,34,0.00140207366463435,0.0184466731319264
CG9855,FBgn0037242,CG9855-PA-1014,23,26,15,12,0.00140244441671491,0.0184466731319264
sas,FBgn0002306,sas-PA-3430,3,9,17,23,0.00140234175176083,0.0184466731319264
scrib,FBgn0263289,scrib-PJ-5511,7,4,25,15,0.00140234175176083,0.0184466731319264
CG18659,FBgn0027561,CG18659-PA-2514,7,9,24,23,0.00141243236632337,0.0185656422635935
CG8300,FBgn0029937,CG8300-PA-438,19,22,9,11,0.00141243236632337,0.0185656422635935
Mfe2,FBgn0030731,Mfe2-PA-753,7,9,25,22,0.00141243236632337,0.0185656422635935
prominin-like,FBgn0026189,prominin-like-PA-2740,20,13,34,46,0.0014129745576197,0.0185686362759022
CG10375,FBgn0039116,CG10375-PA-493,37,38,21,28,0.00141433928699237,0.0185824359535473
shot,FBgn0013733,shot-PA-15775,8,13,25,32,0.00141891232243354,0.018638372762073
wbl,FBgn0004003,wbl-PA-175,107,103,161,177,0.00142242850986424,0.0186804053670363
ade3,FBgn0000053,ade3-PA-840,8,12,28,26,0.00142588004843346,0.0187174091799029
mi,FBgn0261786,mi-PA-2643,7,13,29,25,0.00142588004843346,0.0187174091799029
CG1707,FBgn0033162,CG1707-PA-459,409,463,434,429,0.00142729305014087,0.0187317939900487
mRpL4,FBgn0001995,mRpL4-PA-498,213,182,161,172,0.00142977395711722,0.0187601844833212
CG43320,FBgn0263025,CG43320-PA-1122,23,21,15,8,0.0014308824809574,0.0187705592093253
CG1824,FBgn0030403,CG1824-PA-818,26,0,0,1,0.00143124109852716,0.0187710941143276
BM-40-SPARC,FBgn0026562,BM-40-SPARC-PA-468,80,90,64,74,0.00143231664514922,0.0187737525585503
CDC45L,FBgn0026143,CDC45L-PA-1459,27,31,17,18,0.00143303323061981,0.0187737525585503
CG5235,FBgn0036565,CG5235-PA-1632,36,29,20,20,0.00143248643860283,0.0187737525585503
CG5731,FBgn0032192,CG5731-PA-171,13,15,32,36,0.00143303323061981,0.0187737525585503
pnut,FBgn0013726,pnut-PA-1146,18,10,36,32,0.00143303323061981,0.0187737525585503
pk,FBgn0003090,pk-PA-2446,18,27,49,47,0.00143570008409546,0.0188045188659369
CG4497,FBgn0031895,CG4497-PA-1098,32,50,88,73,0.00143882243348164,0.018841236203228
N,FBgn0004647,N-PA-7839,33,33,72,57,0.00144124879244676,0.0188688253567548
CG2747,FBgn0037541,CG2747-PA-5912,100,107,80,94,0.00144789546863388,0.0189516424172384
Aats-val,FBgn0027079,Aats-val-PA-1935,14,8,34,27,0.0014511062857861,0.0189894604533471
CG10435,FBgn0037539,CG10435-PA-948,18,10,6,4,0.00145341739243296,0.0190112789285284
CG1440,FBgn0030038,CG1440-PA-1413,11,17,7,3,0.00145341739243296,0.0190112789285284
CG7705,FBgn0038639,CG7705-PA-1290,78,62,54,49,0.00145603747514326,0.0190413333053611
AP-1gamma,FBgn0030089,AP-1gamma-PA-2604,84,104,153,175,0.00145687049642888,0.0190480092490805
nej,FBgn0261617,nej-PB-9660,339,326,473,485,0.00145920673727288,0.0190743318923997
MYPT-75D,FBgn0036801,MYPT-75D-PA-2088,12,11,23,43,0.00146093796246307,0.0190927360449533
CG11737,FBgn0037592,CG11737-PA-903,19,21,40,51,0.00146176519551783,0.0190993205568345
CG9147,FBgn0031774,CG9147-PA-1122,155,183,151,155,0.00146810265659956,0.0191778824803046
CG9674,FBgn0036663,CG9674-PA-5245,27,30,60,55,0.00147187796280068,0.0192186974855367
Ddx1,FBgn0015075,Ddx1-PA-873,27,30,53,62,0.00147187796280068,0.0192186974855367
CG5522,FBgn0034158,CG5522-PA-2061,17,9,32,35,0.00147455876438914,0.0192494455144328
Su(dx),FBgn0003557,Su(dx)-PA-2490,190,217,311,355,0.00147842326306537,0.0192956289657712
CG4334,FBgn0038312,CG4334-PB-1062,80,67,59,50,0.00148395338869546,0.0193635261223103
Atx2,FBgn0041188,Atx2-PA-2509,3,2,12,14,0.00148807662204769,0.0193916216118474
CG12991,FBgn0030847,CG12991-PA-70,67,36,139,108,0.00148682411994141,0.0193916216118474
CG17294,FBgn0032032,CG17294-PA-636,2,3,13,13,0.00148807662204769,0.0193916216118474
CG1753,FBgn0031148,CG1753-PA-889,2,3,13,13,0.00148807662204769,0.0193916216118474
CG31633,FBgn0051633,CG31633-PA-997,10,12,3,4,0.00148807662204769,0.0193916216118474
wah,FBgn0262527,wah-PD-2511,2,3,14,12,0.00148807662204769,0.0193916216118474
CG14962,FBgn0035407,CG14962-PA-984,34,35,23,20,0.00148849336486775,0.0193927732500242
CG15098,FBgn0034398,CG15098-PA-249,425,417,636,561,0.00149336311169014,0.0194519273599903
CG6308,FBgn0030645,CG6308-PA-560,115,109,96,95,0.00149432189691998,0.019460124054752
CG8311,FBgn0034141,CG8311-PA-630,14,20,8,7,0.00149710463067054,0.0194877684104343
lva,FBgn0029688,lva-PC-7180,8,3,20,19,0.00149710463067054,0.0194877684104343
bys,FBgn0010292,bys-PA-630,24,30,59,52,0.00150332556287962,0.0195006779618038
CG10211,FBgn0032685,CG10211-PA-3210,1,1,12,5,0.001504039894951,0.0195006779618038
CG14950,FBgn0035364,CG14950-PB-956,1,1,12,5,0.001504039894951,0.0195006779618038
CG15083,FBgn0034399,CG15083-PA-421,5,10,0,2,0.001504039894951,0.0195006779618038
CG3226,FBgn0029882,CG3226-PA-325,87,99,75,79,0.00150300875710824,0.0195006779618038
CG6746,FBgn0032394,CG6746-PA-610,3,12,0,2,0.001504039894951,0.0195006779618038
dl,FBgn0260632,dl-PA-663,2,0,13,4,0.001504039894951,0.0195006779618038
fra,FBgn0011592,fra-PA-3507,2,0,10,7,0.001504039894951,0.0195006779618038
Grip84,FBgn0026430,Grip84-PA-2382,2,0,10,7,0.001504039894951,0.0195006779618038
hh,FBgn0004644,hh-PA-903,16,24,38,56,0.00150256041104907,0.0195006779618038
KP78b,FBgn0026063,KP78b-PA-728,0,2,11,6,0.001504039894951,0.0195006779618038
mRNA-cap,FBgn0030556,mRNA-cap-PA-1651,9,6,1,1,0.001504039894951,0.0195006779618038
p38b,FBgn0024846,p38b-PA-714,10,5,0,2,0.001504039894951,0.0195006779618038
pAbp,FBgn0261619,pAbp-PA-1137,2,0,7,10,0.001504039894951,0.0195006779618038
Pmi,FBgn0044419,Pmi-PC-46,1,1,6,11,0.001504039894951,0.0195006779618038
Socs44A,FBgn0033266,Socs44A-PA-894,188,197,286,292,0.00150047521595196,0.0195006779618038
Tis11,FBgn0011837,Tis11-PA-1035,1,1,6,11,0.001504039894951,0.0195006779618038
wee,FBgn0011737,wee-PA-490,2,0,6,11,0.001504039894951,0.0195006779618038
lola,FBgn0005630,lola-PA-1292,58,46,91,116,0.00150487143242112,0.0195056414439606
pip,FBgn0003089,pip-PA-568,13,13,30,35,0.00150508327508768,0.0195056414439606
NC2beta,FBgn0028926,NC2beta-PA-198,70,100,60,69,0.00152607020386231,0.0197732896225758
caz,FBgn0011571,caz-PB-1162,9,8,3,0,0.00152996925348456,0.0197847174643146
CG10992,FBgn0030521,CG10992-PA-369,5,4,16,17,0.00153097224443628,0.0197847174643146
CG14562,FBgn0037142,CG14562-PA-4548,17,12,5,6,0.00153097224443628,0.0197847174643146
CG14629,FBgn0040398,CG14629-PA-780,8,9,1,2,0.00152996925348456,0.0197847174643146
CG3353,FBgn0038869,CG3353-PA-354,53,64,123,95,0.00152897595295072,0.0197847174643146
CG5316,FBgn0038704,CG5316-PB-967,10,7,2,2,0.00152996925348456,0.0197847174643146
DnaJ-1,FBgn0263106,DnaJ-1-PA-357,2,7,16,17,0.00153097224443628,0.0197847174643146
L,FBgn0001332,L-PA-1459,7,10,1,2,0.00152996925348456,0.0197847174643146
mr,FBgn0002791,mr-PA-678,9,8,2,2,0.00152996925348456,0.0197847174643146
mRpS21,FBgn0044511,mRpS21-PA-181,8,9,2,2,0.00152996925348456,0.0197847174643146
Tbp,FBgn0003687,Tbp-PA-598,14,15,8,3,0.00153097224443628,0.0197847174643146
Xrp1,FBgn0261113,Xrp1-PA-1706,9,8,2,2,0.00152996925348456,0.0197847174643146
CG12301,FBgn0036514,CG12301-PA-2160,36,36,87,59,0.00153356363533066,0.019809536565039
p120ctn,FBgn0260799,p120ctn-PA-1873,61,63,34,54,0.00153356363533066,0.019809536565039
CG6750,FBgn0032292,CG6750-PA-705,130,118,106,109,0.00154283469715373,0.0199249358286694
CG3887,FBgn0031670,CG3887-PA-420,1732,1769,2320,2394,0.00154401081879533,0.0199314078549541
lva,FBgn0029688,lva-PC-8142,73,73,149,113,0.00154398651826688,0.0199314078549541
CG3530,FBgn0028497,CG3530-PA-1995,22,18,42,47,0.00155076603950379,0.0200098625215239
CG8192,FBgn0034030,CG8192-PA-730,39,37,22,28,0.00155076603950379,0.0200098625215239
Cks85A,FBgn0037613,Cks85A-PA-193,70,57,42,49,0.0015590120036215,0.0201118678265353
eIF-3p66,FBgn0040227,eIF-3p66-PB-783,41,42,31,26,0.00155959071863755,0.0201149396508619
CG3609,FBgn0031418,CG3609-PA-484,55,48,99,86,0.00156081100672536,0.0201262830644512
18w,FBgn0004364,18w-PA-3618,53,38,79,95,0.00156739226970341,0.0201627211204845
AGO3,FBgn0250816,AGO3-PD-1919,2,2,14,10,0.00156728784672267,0.0201627211204845
CG1597,FBgn0030289,CG1597-PB-283,1,3,12,12,0.00156728784672267,0.0201627211204845
CG17233,FBgn0036958,CG17233-PA-2868,2,2,11,13,0.00156728784672267,0.0201627211204845
CG6523,FBgn0032509,CG6523-PA-181,1,3,13,11,0.00156728784672267,0.0201627211204845
l(1)1Bi,FBgn0001341,l(1)1Bi-PA-1141,3,1,12,12,0.00156728784672267,0.0201627211204845
LRP1,FBgn0053087,LRP1-PC-11863,3,1,13,11,0.00156728784672267,0.0201627211204845
mam,FBgn0002643,mam-PA-4437,1,3,14,10,0.00156728784672267,0.0201627211204845
Nipped-A,FBgn0053554,Nipped-A-PA-9397,1,3,11,13,0.00156728784672267,0.0201627211204845
spin,FBgn0086676,spin-PA-705,3,1,14,10,0.00156728784672267,0.0201627211204845
twe,FBgn0002673,twe-PA-633,2,2,10,14,0.00156728784672267,0.0201627211204845
Pcaf,FBgn0020388,Pcaf-PA-2259,14,10,29,32,0.00157108334903027,0.0202058014867225
ave,FBgn0050476,ave-PA-282,17,16,2,11,0.0015789389674735,0.0202979924991401
CG10082,FBgn0034644,CG10082-PA-2499,3,8,23,15,0.0015789389674735,0.0202979924991401
CG9300,FBgn0036886,CG9300-PA-1002,13,13,1,8,0.00158239370097419,0.0203335524787062
Sras,FBgn0029121,Sras-PA-709,11,15,7,2,0.00158239370097419,0.0203335524787062
HBS1,FBgn0042712,HBS1-PA-1746,71,85,135,125,0.0015874876701766,0.0203945718567087
CG11073,FBgn0034693,CG11073-PA-1402,3,0,11,10,0.00159188789169607,0.0204022819244329
CG15087,FBgn0034380,CG15087-PA-826,1,2,11,10,0.00159188789169607,0.0204022819244329
CG31919,FBgn0031674,CG31919-PB-504,9,10,2,3,0.00159188789169607,0.0204022819244329
CG5065,FBgn0034145,CG5065-PA-1722,1,2,10,11,0.00159188789169607,0.0204022819244329
CG8239,FBgn0030683,CG8239-PA-902,1,2,10,11,0.00159188789169607,0.0204022819244329
dgt1,FBgn0039710,dgt1-PA-541,8,11,3,2,0.00159188789169607,0.0204022819244329
mip130,FBgn0023509,mip130-PA-463,2,1,12,9,0.00159188789169607,0.0204022819244329
Rab5,FBgn0014010,Rab5-PA-487,2,1,12,10,0.00159188789169607,0.0204022819244329
rin,FBgn0015778,rin-PA-1588,3,0,11,10,0.00159188789169607,0.0204022819244329
Smc5,FBgn0052438,Smc5-PA-568,10,9,3,2,0.00159188789169607,0.0204022819244329
VhaSFD,FBgn0027779,VhaSFD-PA-114,1,2,13,9,0.00159188789169607,0.0204022819244329
car,FBgn0000257,car-PA-1342,23,24,62,41,0.0015931944597204,0.0204057424424566
CG14786,FBgn0027794,CG14786-PA-2482,31,16,53,50,0.0015931944597204,0.0204057424424566
Srp14,FBgn0038808,Srp14-PB-234,34,22,60,58,0.00159289181979296,0.0204057424424566
CG1146,FBgn0035346,CG1146-PA-591,44,52,97,77,0.0015955455582607,0.0204314244535474
CG11534,FBgn0046296,CG11534-PA-1404,34,32,18,23,0.00159599639414253,0.0204327671895229
CG18208,FBgn0038653,CG18208-PA-1880,569,514,510,464,0.00160550730162729,0.0205500759036637
RfC38,FBgn0028700,RfC38-PA-156,5,8,21,21,0.00160659310309684,0.0205550640127152
Vps4,FBgn0027605,Vps4-PA-918,20,16,9,8,0.00160659310309684,0.0205550640127152
ran,FBgn0020255,ran-PA-534,1616,1708,2237,2240,0.00161218590948794,0.0206221519260426
Alg10,FBgn0052076,Alg10-PA-1095,304,337,261,300,0.00161472239143771,0.0206478641321734
Hlc,FBgn0001565,Hlc-PA-1479,4190,4402,4595,4565,0.0016148952627334,0.0206478641321734
GlyP,FBgn0004507,GlyP-PA-1323,40,45,80,77,0.00161751214001622,0.0206768467456878
CG14830,FBgn0035755,CG14830-PA-759,212,196,308,359,0.00161995659051841,0.0207012831565501
inx2,FBgn0027108,inx2-PA-681,66,75,142,113,0.00162012480526896,0.0207012831565501
Lk6,FBgn0017581,Lk6-PA-2737,208,239,337,388,0.00162561915799386,0.0207669946426133
CG8740,FBgn0027585,CG8740-PA-2694,13,9,26,32,0.00162786879010993,0.0207912359442717
CG14005,FBgn0031739,CG14005-PA-85,10,10,34,21,0.00163274610402623,0.0208490204133148
Grasp65,FBgn0036919,Grasp65-PA-1285,117,104,99,90,0.00163417566003472,0.0208627639711047
dpa,FBgn0015929,dpa-PA-2046,36,33,24,20,0.0016463510241164,0.0210091181465571
her,FBgn0001185,her-PA-1410,48,44,33,31,0.00164610895325646,0.0210091181465571
Ance,FBgn0012037,Ance-PA-1688,25,39,19,19,0.00165186254834931,0.0210748970361663
CG5630,FBgn0038842,CG5630-PA-897,85,86,144,137,0.00165303270367177,0.0210852711476128
gkt,FBgn0260817,gkt-PA-1370,188,196,182,172,0.00166239772646213,0.0212001479009719
bys,FBgn0010292,bys-PA-801,83,106,80,77,0.00166566456141687,0.0212372231580651
eIF3-S8,FBgn0034258,eIF3-S8-PA-2556,405,453,639,712,0.00166898222335579,0.0212749303144715
CG5104,FBgn0037009,CG5104-PB-394,19,31,13,14,0.00167119948679687,0.0212927922315361
CG6654,FBgn0038301,CG6654-PA-1590,48,40,32,29,0.00167218616224499,0.0212927922315361
CG9987,FBgn0032781,CG9987-PA-1086,10,11,32,23,0.00167152356831644,0.0212927922315361
enc,FBgn0004875,enc-PA-5391,26,21,16,10,0.00167152356831644,0.0212927922315361
mRpL21,FBgn0036853,mRpL21-PA-489,43,45,33,28,0.00167218616224499,0.0212927922315361
Or45a,FBgn0033404,Or45a-PA-1033,25,36,19,17,0.001675927951158,0.021335838098618
ana,FBgn0011746,ana-PA-1159,20,19,47,39,0.00167877015383244,0.0213674154622922
smo,FBgn0003444,smo-PA-2835,67,77,54,59,0.00168117341866005,0.0213933936132785
CG31457,FBgn0051457,CG31457-PB-747,55,53,37,42,0.00168390949407501,0.0214235947654205
CG2918,FBgn0023529,CG2918-PA-2423,61,78,117,119,0.00168450223580228,0.0214265201468902
jar,FBgn0011225,jar-PB-3117,62,60,117,94,0.00168928683189931,0.0214827523079909
CG12814,FBgn0037796,CG12814-PB-1153,132,146,217,214,0.00169000500409121,0.0214857248256484
twr,FBgn0262801,twr-PA-466,37,47,31,27,0.00169024818889841,0.0214857248256484
tub,FBgn0003882,tub-PB-155,23,18,48,42,0.00169547710316068,0.0215475547145391
Mcm5,FBgn0017577,Mcm5-PA-2139,1007,1119,1127,1077,0.0016962845826665,0.0215531787614281
Nup62,FBgn0034118,Nup62-PA-725,60,70,53,47,0.00169686741635028,0.0215559466282673
CG10359,FBgn0035452,CG10359-PE-21,9,8,22,26,0.00169950311401441,0.021584786001605
CG14980,FBgn0035470,CG14980-PB-853,8,16,3,5,0.00170145770647663,0.021600320126633
Eip74EF,FBgn0000567,Eip74EF-PA-2097,3,3,18,10,0.00170145770647663,0.021600320126633
CG30415,FBgn0250838,CG30415-PA-206,3383,3607,3851,3591,0.00170535742933797,0.0216451749541891
CG34441,FBgn0085470,CG34441-PA-930,9,6,28,18,0.00170761571085948,0.021659872992255
Dpit47,FBgn0033083,Dpit47-PA-171,4,11,17,29,0.00170761571085948,0.021659872992255
vkg,FBgn0016075,vkg-PA-5065,7,8,28,18,0.00170761571085948,0.021659872992255
CG14860,FBgn0038273,CG14860-PB-537,28,29,16,17,0.00170960856435122,0.0216804944370742
Vha13,FBgn0026753,Vha13-PA-249,52,70,37,50,0.00171510882411676,0.0217455768429987
CG17323,FBgn0032713,CG17323-PA-1209,9,9,36,17,0.00171957914233291,0.0217975756574151
Nup54,FBgn0033737,Nup54-PA-1746,119,127,107,107,0.00172684277095737,0.021884952868498
CG8093,FBgn0033999,CG8093-PA-1182,129,129,115,111,0.00173250009441513,0.0219519396215337
dnc,FBgn0000479,dnc-PA-1833,11,18,28,45,0.00173323315840245,0.0219565173464032
Aats-arg,FBgn0027093,Aats-arg-PA-1182,6,11,1,2,0.00174378266024389,0.0220051958010007
Asx,FBgn0261823,Asx-PA-4180,0,3,7,12,0.00174378266024389,0.0220051958010007
CG11696,FBgn0030314,CG11696-PA-1659,0,3,8,11,0.00174378266024389,0.0220051958010007
CG15439,FBgn0031606,CG15439-PA-1696,18,18,34,56,0.00174070774446672,0.0220051958010007
CG34315,FBgn0085344,CG34315-PB-540,18,14,5,8,0.00174217787732839,0.0220051958010007
CG5618,FBgn0036975,CG5618-PA-820,7,10,3,0,0.00174378266024389,0.0220051958010007
CG6597,FBgn0036967,CG6597-PA-45,6,11,3,0,0.00174378266024389,0.0220051958010007
Cyp9c1,FBgn0015040,Cyp9c1-PA-1104,5,3,15,16,0.00174109682168716,0.0220051958010007
Def,FBgn0010385,Def-PA-161,7,10,3,0,0.00174378266024389,0.0220051958010007
dve,FBgn0020307,dve-PA-2019,0,3,8,11,0.00174378266024389,0.0220051958010007
fry,FBgn0016081,fry-PB-10365,205,210,156,197,0.00174060260741992,0.0220051958010007
Miro,FBgn0039140,Miro-PC-1065,3,5,17,14,0.00174109682168716,0.0220051958010007
neo,FBgn0039704,neo-PA-1458,5,3,14,17,0.00174109682168716,0.0220051958010007
snz,FBgn0029976,snz-PA-2625,34,28,66,56,0.00174180637797741,0.0220051958010007
Sox14,FBgn0005612,Sox14-PA-935,62,61,101,124,0.00173873730423563,0.0220051958010007
Tpc1,FBgn0037852,Tpc1-PA-579,4,4,17,14,0.00174109682168716,0.0220051958010007
vir,FBgn0003977,vir-PA-4929,5,12,1,3,0.00174378266024389,0.0220051958010007
wapl,FBgn0004655,wapl-PA-5113,14,13,6,4,0.00174109682168716,0.0220051958010007
CG34132,FBgn0083968,CG34132-PA-6,73,72,60,55,0.00175708960030051,0.0221683823145797
CG6388,FBgn0032430,CG6388-PA-624,47,44,85,80,0.00177057085720829,0.022328928824473
Prosbeta7,FBgn0250746,Prosbeta7-PA-33,165,162,156,118,0.00177029441835643,0.022328928824473
CG7456,FBgn0032258,CG7456-PA-1278,8,2,17,19,0.00177197083042272,0.0223322777001932
deltaCOP,FBgn0028969,deltaCOP-PA-510,1,9,16,20,0.00177197083042272,0.0223322777001932
Orco,FBgn0037324,Orco-PA-1250,19,12,9,3,0.00177197083042272,0.0223322777001932
CG5028,FBgn0039358,CG5028-PA-1183,221,224,172,208,0.00177359188054368,0.0223479388267865
CG5604,FBgn0032208,CG5604-PA-8130,522,561,574,518,0.00178103257214821,0.0224369073476811
alphaCop,FBgn0025725,alphaCop-PA-2290,31,35,65,63,0.00178752684670232,0.0225139177889839
Sip1,FBgn0010620,Sip1-PA-700,7,5,26,15,0.00179014617146467,0.0225421007663881
l(1)G0156,FBgn0027291,l(1)G0156-PA-927,311,343,308,328,0.00179118588411183,0.0225503849805748
Cog7,FBgn0051040,Cog7-PA-1485,15,10,29,34,0.00179624263001564,0.0226092278865013
CG5447,FBgn0039427,CG5447-PA-159,3,2,16,10,0.00179842702398568,0.0226126257574082
CG5543,FBgn0034908,CG5543-PA-1167,1,4,10,16,0.00179842702398568,0.0226126257574082
CG8460,FBgn0031996,CG8460-PA-266,3,2,8,18,0.00179842702398568,0.0226126257574082
qsm,FBgn0028622,qsm-PA-952,0,5,9,17,0.00179842702398568,0.0226126257574082
Snmp2,FBgn0035815,Snmp2-PB-1140,3,2,19,7,0.00179842702398568,0.0226126257574082
CG4611,FBgn0035591,CG4611-PA-1671,57,54,100,94,0.00179964940043989,0.0226231788614685
slpr,FBgn0030018,slpr-PA-3312,31,61,118,90,0.00180331102501739,0.0226643844467923
ana,FBgn0011746,ana-PA-234,15,22,44,38,0.00181462914253398,0.0227872353603597
CG12713,FBgn0036536,CG12713-PA-883,20,17,37,45,0.00181462914253398,0.0227872353603597
CG16908,FBgn0037741,CG16908-PA-3204,67,84,59,61,0.0018142978569232,0.0227872353603597
CG8420,FBgn0037664,CG8420-PA-1027,14,23,40,42,0.00181462914253398,0.0227872353603597
eEF1delta,FBgn0032198,eEF1delta-PA-564,49,60,32,44,0.00181570241781722,0.0227958659420599
Rbf,FBgn0015799,Rbf-PA-1713,12,18,35,35,0.00181884368956936,0.0228304507159591
18w,FBgn0004364,18w-PA-3762,72,69,115,138,0.00182704158863582,0.0229284789931267
Aats-thr,FBgn0027081,Aats-thr-PA-570,25,23,51,49,0.00182779028742384,0.0229330016559756
CG5660,FBgn0035942,CG5660-PA-2434,54,53,97,92,0.00183286706793661,0.0229869321083458
ncd,FBgn0002924,ncd-PA-1497,74,87,69,61,0.00183286706793661,0.0229869321083458
pit,FBgn0025140,pit-PA-163,17,23,45,42,0.0018396390165665,0.0230669641274701
Acn,FBgn0263198,Acn-PA-848,0,4,12,9,0.00184824687251768,0.0230866674697861
br,FBgn0000210,br-PB-1926,3,0,13,8,0.00184824687251768,0.0230866674697861
CG10217,FBgn0039113,CG10217-PA-1561,14,5,2,3,0.00184824687251768,0.0230866674697861
CG2794,FBgn0031265,CG2794-PA-1362,1,2,8,13,0.00184824687251768,0.0230866674697861
CG3295,FBgn0034573,CG3295-PA-547,3,0,8,13,0.00184824687251768,0.0230866674697861
CG6280,FBgn0033866,CG6280-PA-2608,0,4,12,9,0.00184824687251768,0.0230866674697861
CG7686,FBgn0027525,CG7686-PA-516,1,2,13,8,0.00184824687251768,0.0230866674697861
CG8613,FBgn0033924,CG8613-PA-921,0,4,12,9,0.00184824687251768,0.0230866674697861
dsx,FBgn0000504,dsx-PA-364,15,4,2,3,0.00184824687251768,0.0230866674697861
fs(1)h,FBgn0004656,fs(1)h-PA-723,3,0,8,13,0.00184824687251768,0.0230866674697861
fz,FBgn0001085,fz-PA-705,6,13,4,1,0.00184824687251768,0.0230866674697861
GstE3,FBgn0063497,GstE3-PA-205,12,7,2,3,0.00184824687251768,0.0230866674697861
malpha,FBgn0002732,malpha-PA-355,7,12,3,2,0.00184824687251768,0.0230866674697861
nocte,FBgn0261710,nocte-PA-6003,2,1,15,6,0.00184824687251768,0.0230866674697861
Pfk,FBgn0003071,Pfk-PA-2496,2,1,15,6,0.00184824687251768,0.0230866674697861
Sr-CIII,FBgn0020376,Sr-CIII-PA-898,2,1,14,8,0.00184824687251768,0.0230866674697861
Tango1,FBgn0031842,Tango1-PA-3640,1,2,14,8,0.00184824687251768,0.0230866674697861
Top3beta,FBgn0026015,Top3beta-PA-1683,12,7,4,1,0.00184824687251768,0.0230866674697861
Aats-pro,FBgn0027082,Aats-pro-PA-303,0,1,6,8,0.00186178650727362,0.0231043050108354
beta-Spec,FBgn0250788,beta-Spec-PA-5657,1,0,8,6,0.00186178650727362,0.0231043050108354
brk,FBgn0024250,brk-PA-1054,3,1,15,9,0.00185560123482717,0.0231043050108354
